id,name,code,period,department,employee,last_update,ehd_update,filename
279200,"13551100100080200001 Число публичных акционерных обществ, созданных в результате преобразования унитарных предприятий, в отношении которых принято решение об использовании специального права ""золотая акция"" (по 2015 г.)",13551100100080200001,1993 - 2015,,,2018-11-29T08:34:01+00:00,2018-06-16T06:12:58+00:00,"13551100100080200001_Число_публичных_акционерных_обществ,_созданных_в_результате_преобразования_унит.csv"
277890,"13551100100140200001 Площадь земельных участков, включенных в состав имущественных комплексов государственных и муниципальных унитарных предприятий (по 2015 г.)",13551100100140200001,2003 - 2015,,,2018-11-28T04:21:58+00:00,2018-06-16T06:16:05+00:00,"13551100100140200001_Площадь_земельных_участков,_включенных_в_состав_имущественных_комплексов_госуда.csv"
279202,"13551100100250200001 Площадь земельных участков, занимаемая государственными и муниципальными унитарными предприятиями (по 2015 г.)",13551100100250200001,2003 - 2015,,,2018-11-29T08:34:01+00:00,2018-06-16T06:16:05+00:00,"13551100100250200001_Площадь_земельных_участков,_занимаемая_государственными_и_муниципальными_унитар.csv"
279204,13551100100290200001 Число приватизированных имущественных комплексов государственных и муниципальных унитарных предприятий (по 2015 г.),13551100100290200001,2003 - 2015,Управление статистики цен и финансов,Галюзова М.Ю.,2018-11-29T08:34:01+00:00,2017-11-03T12:40:40+00:00,13551100100290200001_Число_приватизированных_имущественных_комплексов_государственных_и_муниципальны.csv
279222,"13551100100310200001 Число обществ с ограниченной ответственностью, созданных в результате преобразования государственных и муниципальных унитарных предприятий (по 2015 г.)",13551100100310200001,2013 - 2015,,,2018-11-29T08:39:24+00:00,2018-08-24T22:35:21+00:00,"13551100100310200001_Число_обществ_с_ограниченной_ответственностью,_созданных_в_результате_преобразо.csv"
279206,13551100200020200001 Балансовая стоимость основных средств государственных и муниципальных унитарных предприятий (по 2015 г.),13551100200020200001,2003 - 2015,,,2018-11-29T08:34:01+00:00,2018-06-16T06:16:05+00:00,13551100200020200001_Балансовая_стоимость_основных_средств_государственных_и_муниципальных_унитарных.csv
279208,13551100200070200001 Получено средств от покупателей государственного и муниципального имущества (по 2015 г.),13551100200070200001,1993 - 2015,Управление статистики цен и финансов,Галюзова М.Ю.,2019-05-10T18:29:22+00:00,2019-05-07T17:45:10+00:00,13551100200070200001_Получено_средств_от_покупателей_государственного_и_муниципального_имущества_(по.csv
279210,"13551100200090200001 Перечислено денежных средств, полученных от покупателей государственного и муниципального имущества (по 2015 г.)",13551100200090200001,1993 - 2015,Управление статистики цен и финансов,Галюзова М.Ю.,2019-05-06T14:01:15+00:00,2019-05-05T08:56:53+00:00,"13551100200090200001_Перечислено_денежных_средств,_полученных_от_покупателей_государственного_и_муни.csv"
279212,"13551100200300200001 Размер уставного капитала хозяйственных обществ, созданных в результате преобразования государственных и муниципальных унитарных предприятий (по 2015 г.)",13551100200300200001,1993 - 2015,Управление статистики цен и финансов,Галюзова М.Ю.,2018-11-29T08:39:24+00:00,2017-06-08T16:43:18+00:00,"13551100200300200001_Размер_уставного_капитала_хозяйственных_обществ,_созданных_в_результате_преобра.csv"
279214,"13551100200340200001 Стоимость земельных участков, включенных в состав имущественных комплексов государственных или муниципальных унитарных предприятий (по 2015 г.)",13551100200340200001,2003 - 2015,Управление статистики цен и финансов,Галюзова М.Ю.,2018-11-29T08:39:24+00:00,2018-06-16T06:16:05+00:00,"13551100200340200001_Стоимость_земельных_участков,_включенных_в_состав_имущественных_комплексов_госу.csv"
279216,13551100200410200001 Начальная цена (цена первоначального предложения) продажи имущественных комплексов унитарных предприятий (по 2012 г.),13551100200410200001,2003 - 2012,,,2018-11-29T08:39:24+00:00,2018-06-16T06:16:05+00:00,13551100200410200001_Начальная_цена_(цена_первоначального_предложения)_продажи_имущественных_комплек.csv
